date,open,high,low,close,adj_close,volume
2020-07-17,146.68,147.59,145.51,146.59,136.6575,20644100
2020-07-20,146.12,146.85,145.15,145.96,136.0702,19663300
2020-07-21,147.47,149.16,147.2,148.03,137.9999,24503800
2020-07-22,147.09,148.67,147.03,148.11,138.0745,24424800
2020-07-23,147.98,150.2,146.7,148.26,138.2143,21704900
2020-07-24,147.29,147.67,145.56,146.08,136.1821,20015500
2020-07-27,146.19,147.69,145.39,147.6,137.599,13370700
2020-07-28,147.07,148.04,146.06,146.13,136.2287,13268000
2020-07-29,147.0,149.45,146.98,149.35,139.2305,19864400
2020-07-30,147.14,149.12,146.33,148.76,138.6804,23618900
2020-07-31,148.14,148.42,144.67,147.36,137.3753,29881500
2020-08-03,148.29,149.97,147.22,149.76,139.6127,20777100
2020-08-04,149.39,150.93,149.04,150.79,140.5729,20285000
2020-08-05,152.29,153.89,151.78,153.79,143.3696,18190200
2020-08-06,153.8,154.44,152.91,153.73,143.3137,18237700
2020-08-07,153.45,156.25,153.15,156.17,145.5883,20475200
2020-08-10,156.65,158.83,156.65,157.79,147.0986,24000500
2020-08-11,159.27,159.82,156.16,156.88,146.2503,30359400
2020-08-12,158.67,158.89,156.49,157.52,146.8469,23378300
2020-08-13,156.99,158.53,156.65,157.19,146.5393,15799900
2020-08-14,156.28,157.76,155.87,157.09,146.446,13360900
2020-08-17,157.5,158.03,156.74,157.9,147.2012,9744200
2020-08-18,157.85,157.85,155.71,156.39,145.7935,14670400
2020-08-19,156.93,158.04,156.19,156.4,145.8028,14337300
2020-08-20,154.8,156.49,154.54,155.76,145.2061,15413000
2020-08-21,155.15,155.72,153.6,154.61,144.134,20685100
2020-08-24,155.86,156.27,154.33,156.23,145.6443,13707100
2020-08-25,156.81,156.82,154.79,156.4,145.8028,16269700
2020-08-26,156.5,156.77,155.18,155.42,144.8892,13772700
2020-08-27,156.12,157.0,154.63,155.8,145.2434,17508400
2020-08-28,156.6,157.2,155.73,157.12,146.474,12371400
2020-08-31,157.19,157.37,155.3,155.43,144.8985,17051500
2020-09-01,155.22,157.31,154.45,157.21,146.5579,15638800
2020-09-02,157.96,158.98,156.18,158.46,147.7232,16763400
2020-09-03,158.12,158.29,152.96,153.78,143.3603,32117600
2020-09-04,155.71,155.89,149.29,152.8,142.4467,30618800
2020-09-08,151.18,152.48,149.0,149.86,139.7059,26447800
2020-09-09,151.43,152.78,150.57,152.13,141.8221,20160800
2020-09-10,152.83,153.88,150.06,150.15,139.9762,23005500
2020-09-11,150.92,151.05,147.68,149.15,139.044,20851000
2020-09-14,150.59,153.43,150.37,153.08,142.7077,21991300
2020-09-15,154.38,154.7,152.86,153.37,142.9781,16175500
2020-09-16,154.11,156.85,153.84,154.82,144.3298,22178400
2020-09-17,152.62,154.4,151.75,153.69,143.2764,20002900
2020-09-18,153.98,155.29,151.14,153.29,142.9035,38352800
2020-09-21,149.82,150.26,146.33,147.92,137.8974,40652500
2020-09-22,148.65,149.3,146.56,149.06,138.9601,19385800
2020-09-23,148.41,149.43,143.98,144.07,134.8202,33403400
2020-09-24,144.04,146.53,142.09,144.07,134.8202,31723700
2020-09-25,143.44,146.85,143.35,146.41,137.0099,20689300
2020-09-28,148.37,150.44,146.4,150.02,140.3881,17600900
2020-09-29,149.85,150.28,148.0,149.34,139.7518,18683800
2020-09-30,149.9,151.97,148.49,149.79,140.1729,29073700
2020-10-01,150.81,152.2,149.49,152.18,142.4095,25872000
2020-10-02,149.41,153.58,148.99,152.85,143.0365,29452000
2020-10-05,154.49,157.31,154.48,157.07,146.9855,18553600
2020-10-06,158.5,161.01,156.34,156.62,146.5644,36348000
2020-10-07,158.59,160.56,158.46,160.04,149.7648,27049700
2020-10-08,161.72,162.28,160.58,161.86,151.4679,37278600
2020-10-09,163.35,163.71,161.81,162.7,152.254,25038100
2020-10-12,163.4,164.24,162.6,163.79,153.2741,20336200
2020-10-13,162.52,163.22,161.48,162.7,152.254,20106500
2020-10-14,163.01,163.91,160.94,161.09,150.7474,19024900
2020-10-15,159.29,163.18,158.81,162.75,152.3008,22865100
2020-10-16,163.21,163.7,162.31,162.35,151.9265,17637900
2020-10-19,162.88,164.03,160.03,160.41,150.1111,18360600
2020-10-20,161.56,162.45,160.34,160.76,150.4386,18927700
2020-10-21,160.87,161.37,159.29,159.38,149.1472,17504100
2020-10-22,160.14,162.19,159.18,162.13,151.7206,20673900
2020-10-23,163.07,163.33,161.25,163.07,152.6003,20889800
2020-10-26,160.92,161.37,157.38,159.55,149.3062,26509900
2020-10-27,159.45,160.06,157.94,158.18,148.0242,20523000
2020-10-28,154.66,155.44,153.04,153.31,143.4669,32338700
2020-10-29,152.77,155.79,151.67,155.14,145.1794,27203200
2020-10-30,154.32,155.28,151.39,153.09,143.2611,31764500
2020-11-02,154.77,155.89,153.67,155.82,145.8158,25252100
2020-11-03,158.43,161.23,158.06,160.24,149.952,30257400
2020-11-04,157.75,162.35,157.71,160.42,150.1204,45226300
2020-11-05,162.01,165.58,161.91,164.91,154.3221,31911000
2020-11-06,165.62,165.71,163.3,163.62,153.1149,24930400
2020-11-09,176.95,178.1,169.33,169.55,158.6642,55052700
2020-11-10,171.2,173.33,169.75,172.7,161.612,35492200
2020-11-11,173.34,173.48,170.86,172.63,161.5465,23972600
2020-11-12,171.4,172.64,168.34,169.98,159.0666,33986800
2020-11-13,171.35,174.13,171.31,173.5,162.3606,25440400
2020-11-16,176.49,177.78,175.4,177.63,166.2255,31812300
2020-11-17,176.04,178.8,174.28,178.46,167.0022,26154500
2020-11-18,178.94,179.72,175.86,175.96,164.6627,24377800
2020-11-19,175.65,177.59,175.07,177.31,165.926,20187600
2020-11-20,176.67,177.94,175.83,177.5,166.1038,24898800
2020-11-23,179.25,181.99,178.73,180.82,169.2107,24816000
2020-11-24,183.39,185.44,182.36,184.22,172.3923,34945400
2020-11-25,183.5,184.31,181.89,183.59,171.8028,21082700
2020-11-27,183.72,184.49,183.22,184.37,172.5328,10384400
2020-11-30,183.82,184.32,180.32,181.02,169.3978,25481600
2020-12-01,183.6,184.22,181.02,182.7,170.97,30265000
2020-12-02,181.95,183.48,180.76,182.89,171.1478,20142800
2020-12-03,183.34,185.18,182.94,183.92,172.1116,19603600
2020-12-04,185.02,188.45,183.92,188.2,176.1168,24415700
2020-12-07,188.23,188.95,187.44,188.38,176.2853,14671500
2020-12-08,187.12,190.98,187.08,190.8,178.5499,20165600
2020-12-09,192.02,192.81,187.9,189.41,177.2491,29507600
2020-12-10,187.76,191.65,187.31,191.24,178.9617,21245300
2020-12-11,189.99,191.72,188.3,190.3,178.082,30865000
2020-12-14,191.96,193.12,189.88,189.93,178.2904,32237700
2020-12-15,191.76,194.9,190.73,194.68,182.7493,26807000
2020-12-16,195.13,195.21,192.96,193.98,182.0922,25494600
2020-12-17,194.73,196.38,194.06,196.29,184.2606,23834200
2020-12-18,196.61,197.83,194.8,195.34,183.3689,37033400
2020-12-21,191.9,195.78,191.48,195.24,183.275,30873000
2020-12-22,195.99,197.72,195.39,197.46,185.359,21919700
2020-12-23,198.57,199.65,197.9,199.14,186.936,18392000
2020-12-24,199.93,199.94,198.06,199.01,186.8139,8904900
2020-12-28,201.16,201.18,198.13,198.27,186.1193,27168400
2020-12-29,198.64,199.0,193.44,194.43,182.5146,33901300
2020-12-30,195.05,197.48,195.03,196.41,184.3733,20595700
2020-12-31,196.62,196.84,194.62,196.06,184.0447,24747700
2021-01-04,197.54,197.89,190.94,193.5,181.6416,33664200
2021-01-05,193.09,197.62,193.07,196.49,184.4484,27442900
2021-01-06,199.48,206.78,199.16,204.53,191.9957,52952200
2021-01-07,205.71,208.52,205.7,208.17,195.4126,24031400
2021-01-08,209.32,209.77,204.66,207.72,194.9901,29017000
2021-01-11,205.09,208.12,204.83,207.54,194.8212,20945100
2021-01-12,208.52,211.39,208.49,211.26,198.3132,24892200
2021-01-13,211.43,211.73,209.19,209.75,196.8958,22782200
