date,open,high,low,close,adj_close,volume
2019-01-02,245.98,251.21,245.95,250.18,224.3825,126925200
2019-01-03,248.23,248.57,243.67,244.21,219.0282,144140700
2019-01-04,247.59,253.11,247.17,252.39,226.3647,142628800
2019-01-07,252.69,255.95,251.69,254.38,228.1495,103139100
2019-01-08,256.82,257.31,254.0,256.77,230.293,102512600
2019-01-09,257.56,258.91,256.19,257.97,231.3693,95006600
2019-01-10,256.26,259.16,255.5,258.88,232.1855,96823900
2019-01-11,257.68,259.01,257.03,258.98,232.2751,73858100
2019-01-14,256.86,258.3,256.41,257.4,230.858,70908200
2019-01-15,257.82,260.7,257.81,260.35,233.5039,85208300
2019-01-16,260.83,261.97,260.6,260.98,234.0689,77636700
2019-01-17,260.01,263.92,259.96,262.96,235.8447,96118400
2019-01-18,264.98,266.98,263.0,266.46,238.9838,127900300
2019-01-22,264.82,265.06,261.06,262.86,235.755,115531200
2019-01-23,264.01,264.79,260.66,263.41,236.2483,86030300
2019-01-24,263.21,264.2,262.08,263.55,236.3739,59204100
2019-01-25,265.61,266.7,263.66,265.78,238.3739,96883400
2019-01-28,263.39,263.83,261.79,263.76,236.5622,85613700
2019-01-29,263.92,264.55,262.48,263.41,236.2483,66136300
2019-01-30,265.1,268.52,264.25,267.58,239.9883,92473700
2019-01-31,267.51,270.47,267.27,269.93,242.096,104012100
2019-02-01,270.15,271.2,269.18,270.06,242.2126,85782500
2019-02-04,270.11,272.03,269.36,271.96,243.9167,60744800
2019-02-05,272.44,273.44,271.88,273.1,244.9391,79552800
2019-02-06,272.79,273.34,271.92,272.74,244.6163,58347800
2019-02-07,270.94,271.55,268.29,270.14,242.2843,95482000
2019-02-08,268.75,270.58,267.83,270.47,242.5803,75788900
2019-02-11,271.2,271.49,270.03,270.62,242.7149,68021400
2019-02-12,272.42,274.52,272.34,274.1,245.836,72270200
2019-02-13,275.03,275.93,274.56,274.99,246.6342,65277200
2019-02-14,273.78,275.64,272.87,274.38,246.0871,83234400
2019-02-15,276.36,277.41,276.13,277.37,248.7689,97088700
2019-02-19,276.48,278.58,276.47,277.85,249.1993,59120800
2019-02-20,277.81,278.92,277.25,278.41,249.7016,76610800
2019-02-21,277.7,278.1,276.35,277.42,248.8137,64214700
2019-02-22,278.11,279.36,277.4,279.14,250.3563,78114600
2019-02-25,280.73,281.31,279.43,279.52,250.6971,69030700
2019-02-26,279.13,280.3,278.9,279.32,250.5177,56844100
2019-02-27,278.52,279.59,277.48,279.2,250.4102,56921600
2019-02-28,278.96,279.45,278.32,278.68,249.9438,69268300
2019-03-01,280.44,280.88,278.82,280.42,251.5043,78880500
2019-03-04,281.6,281.87,276.84,279.4,250.5895,106494600
2019-03-05,279.54,279.76,278.41,279.02,250.2487,59114600
2019-03-06,279.15,279.16,276.97,277.33,248.733,75039800
2019-03-07,276.83,276.99,274.07,275.01,246.6522,94885100
2019-03-08,272.94,274.65,272.42,274.46,246.1589,85795800
2019-03-11,275.26,278.62,275.23,278.44,249.7285,65098900
2019-03-12,279.06,280.07,278.85,279.49,250.6702,79667500
2019-03-13,280.48,282.38,280.3,281.34,252.3294,80639200
2019-03-14,281.37,281.84,280.67,281.16,252.1681,67518400
2019-03-15,280.54,282.21,280.33,281.31,253.4138,81309000
2019-03-18,281.55,282.66,281.3,282.33,254.3328,62199800
2019-03-19,283.51,284.36,281.41,282.4,254.3958,90268100
2019-03-20,282.16,283.5,280.32,281.55,253.6301,84609200
2019-03-21,280.64,285.18,280.59,284.73,256.4947,79550400
2019-03-22,283.22,283.8,279.18,279.25,251.5582,122659300
2019-03-25,278.87,280.19,277.64,279.04,251.3689,85575200
2019-03-26,280.99,282.18,279.56,281.12,253.2427,68125900
2019-03-27,281.11,281.76,277.93,279.65,251.9184,72224700
2019-03-28,280.35,281.21,279.07,280.71,252.8734,56238500
2019-03-29,282.39,282.84,281.14,282.48,254.4678,82186800
2019-04-01,284.7,286.16,284.4,285.83,257.4856,77617900
2019-04-02,286.04,286.23,285.09,285.97,257.6118,40070400
2019-04-03,287.32,287.76,285.75,286.42,258.0171,68243200
2019-04-04,286.78,287.46,286.01,287.18,258.7018,48997500
2019-04-05,287.92,288.63,287.6,288.57,259.9539,58621700
2019-04-08,288.1,288.91,287.37,288.79,260.1521,53566300
2019-04-09,287.72,288.08,286.7,287.31,258.8189,66142300
2019-04-10,287.77,288.39,287.31,288.29,259.7017,52601500
2019-04-11,288.83,288.84,287.58,288.21,259.6297,55093100
2019-04-12,290.0,290.47,288.26,290.16,261.3863,69727800
2019-04-15,290.24,290.35,289.08,289.97,261.2151,49596700
2019-04-16,290.95,291.01,289.5,290.16,261.3863,52153200
2019-04-17,291.4,291.43,288.99,289.45,260.7467,58268300
2019-04-18,290.1,290.32,288.66,290.02,261.2602,68708500
2019-04-22,289.17,290.44,289.07,290.27,261.4853,40160100
2019-04-23,290.68,293.14,290.42,292.88,263.8365,52246600
2019-04-24,292.79,293.16,292.07,292.23,263.2509,50392900
2019-04-25,292.12,292.78,290.73,292.05,263.0888,57770900
