date,open,high,low,close,adj_close,volume
2019-01-02,73.26,77.668,73.0465,76.9565,76.9565,159662000
2019-01-03,76.0005,76.9,74.8555,75.014,75.014,139512000
2019-01-04,76.5,79.7,75.9155,78.7695,78.7695,183652000
2019-01-07,80.1155,81.728,79.4595,81.4755,81.4755,159864000
2019-01-08,83.2345,83.8305,80.8305,82.829,82.829,177628000
2019-01-09,82.649,83.39,82.07,82.971,82.971,126976000
2019-01-10,82.0505,83.1625,81.081,82.811,82.811,130154000
2019-01-11,82.0275,83.0145,81.811,82.028,82.028,93724000
2019-01-14,80.75,82.41,79.7575,80.8605,80.8605,120118000
2019-01-15,81.6,83.758,81.3005,83.728,83.728,119970000
2019-01-16,84.211,85.25,83.794,84.189,84.189,127338000
2019-01-17,84.0,85.0085,83.875,84.661,84.661,84178000
2019-01-18,85.6,85.81,84.577,84.81,84.81,120410000
2019-01-22,84.05,84.0935,80.51,81.6085,81.6085,128336000
2019-01-23,82.8,82.8715,80.6,82.001,82.001,104504000
2019-01-24,82.0535,82.863,81.589,82.7465,82.7465,81798000
2019-01-25,83.525,84.174,83.0805,83.5285,83.5285,98918000
2019-01-28,82.1795,82.25,80.7045,81.8945,81.8945,96754000
2019-01-29,81.5635,81.619,79.536,79.694,79.694,92656000
2019-01-30,81.15,83.8475,80.984,83.5215,83.5215,115676000
2019-01-31,84.6425,86.8205,83.954,85.9365,85.9365,218206000
2019-02-01,81.944,83.653,81.1005,81.3115,81.3115,230124000
2019-02-04,81.15,82.4815,80.675,81.6655,81.6655,98582000
2019-02-05,82.167,83.263,82.125,82.9405,82.9405,89062000
2019-02-06,83.5375,83.613,81.667,82.013,82.013,78798000
2019-02-07,81.25,81.277,79.6455,80.7185,80.7185,92532000
2019-02-08,79.3,79.4295,78.338,79.411,79.411,113150000
2019-02-11,80.049,80.4645,79.3,79.55,79.55,66346000
2019-02-12,80.2,81.97,79.944,81.9005,81.9005,97172000
2019-02-13,82.35,82.819,81.8555,82.0,82.0,71206000
2019-02-14,81.225,81.895,80.303,81.1325,81.1325,82410000
2019-02-15,81.393,81.4455,80.225,80.3975,80.3975,86878000
2019-02-19,80.05,81.7,80.028,81.379,81.379,73634000
2019-02-20,81.5,81.7465,80.506,81.105,81.105,66752000
2019-02-21,80.9925,81.178,80.0455,80.972,80.972,69668000
2019-02-22,81.175,81.747,81.0585,81.578,81.578,61924000
2019-02-25,82.0725,82.73,81.5195,81.65,81.65,63690000
2019-02-26,81.299,81.9995,80.8065,81.82,81.82,53316000
2019-02-27,81.409,82.0905,80.755,82.0545,82.0545,62976000
2019-02-28,81.7625,82.5885,81.6915,81.9915,81.9915,60518000
2019-03-01,82.7565,83.713,82.55,83.5865,83.5865,99498000
2019-03-04,84.25,85.4715,83.718,84.8085,84.8085,123348000
2019-03-05,85.1475,85.39,84.4505,84.6215,84.6215,73630000
2019-03-06,84.7985,84.8875,83.414,83.4475,83.4475,79920000
2019-03-07,83.3685,83.4875,81.0255,81.2975,81.2975,99140000
2019-03-08,80.2005,81.136,79.3285,81.04,81.04,93340000
2019-03-11,81.306,83.6145,81.3005,83.531,83.531,77528000
2019-03-12,83.45,84.2135,83.049,83.655,83.655,72290000
2019-03-13,84.15,85.0,83.9675,84.5405,84.5405,71040000
2019-03-14,84.56,85.1,84.217,84.311,84.311,58932000
2019-03-15,85.15,85.94,84.6565,85.618,85.618,151018000
2019-03-18,85.635,87.5,85.6315,87.1075,87.1075,108582000
2019-03-19,87.6755,89.208,87.6755,88.0925,88.0925,127284000
2019-03-20,88.497,89.975,88.3515,89.8635,89.8635,125312000
2019-03-21,89.813,91.1875,89.364,90.963,90.963,115356000
2019-03-22,90.5085,90.949,88.1555,88.2385,88.2385,127260000
2019-03-25,87.8895,89.134,87.375,88.713,88.713,102076000
2019-03-26,89.65,90.2885,88.668,89.188,89.188,97318000
2019-03-27,89.2065,89.375,87.284,88.285,88.285,86496000
2019-03-28,88.5,88.8965,87.6735,88.671,88.671,60860000
2019-03-29,89.329,89.643,88.8315,89.0375,89.0375,66416000
