date,open,high,low,close,adj_close,volume
2019-01-02,99.55,101.75,98.94,101.12,94.1931,35329300
2019-01-03,100.1,100.19,97.2,97.4,90.728,42579100
2019-01-04,99.72,102.51,98.93,101.93,94.9476,44060600
2019-01-07,101.64,103.27,100.98,102.06,95.0687,35656100
2019-01-08,103.04,103.97,101.71,102.8,95.7581,31514400
2019-01-09,103.86,104.88,103.24,104.27,97.1273,32280800
2019-01-10,103.22,103.75,102.38,103.6,96.5033,30067600
2019-01-11,103.19,103.44,101.64,102.8,95.7581,28314200
2019-01-14,101.9,102.87,101.26,102.05,95.0594,28437100
2019-01-15,102.51,105.05,101.88,105.01,97.8167,31587600
2019-01-16,105.26,106.26,104.96,105.38,98.1613,29853900
2019-01-17,105.0,106.63,104.76,106.12,98.8506,28393000
2019-01-18,107.46,107.9,105.91,107.71,100.3317,37427600
2019-01-22,106.75,107.1,104.86,105.68,98.4408,32371300
2019-01-23,106.12,107.04,105.34,106.71,99.4002,25874300
2019-01-24,106.86,107.0,105.34,106.2,98.9252,23164800
2019-01-25,107.24,107.88,106.2,107.17,99.8287,31225600
2019-01-28,106.26,106.48,104.66,105.08,97.8819,29476700
2019-01-29,104.88,104.97,102.17,102.94,95.8885,31490500
2019-01-30,104.62,106.38,104.33,106.38,99.0928,49471900
2019-01-31,103.8,105.22,103.18,104.43,97.2764,55636400
2019-02-01,103.78,104.1,102.35,102.78,95.7394,35535700
2019-02-04,102.87,105.8,102.77,105.74,98.4967,31315100
2019-02-05,106.06,107.27,105.96,107.22,99.8753,27325400
2019-02-06,107.0,107.0,105.53,106.03,98.7668,20609800
2019-02-07,105.19,105.59,104.29,105.27,98.0588,29760700
2019-02-08,104.39,105.78,104.26,105.67,98.4315,21461100
2019-02-11,106.2,106.58,104.97,105.25,98.0402,18914100
2019-02-12,106.14,107.14,105.48,106.89,99.5679,25056600
2019-02-13,107.5,107.78,106.71,106.81,99.4934,18394900
2019-02-14,106.31,107.29,105.66,106.9,99.5772,21784700
2019-02-15,107.91,108.3,107.36,108.22,100.8068,26606900
2019-02-19,107.79,108.66,107.78,108.17,100.7602,18038500
2019-02-20,107.86,107.94,106.29,107.15,100.2364,21607700
2019-02-21,106.9,109.48,106.87,109.41,102.3505,29063200
2019-02-22,110.05,111.2,109.82,110.97,103.8099,27763200
2019-02-25,111.76,112.18,111.26,111.59,104.3899,23750600
2019-02-26,111.26,113.24,111.17,112.36,105.1102,21536700
2019-02-27,111.69,112.36,110.88,112.17,104.9324,21487100
2019-02-28,112.04,112.88,111.73,112.03,104.8015,29083900
2019-03-01,112.89,113.02,111.67,112.53,105.2692,23501200
2019-03-04,113.02,113.25,110.8,112.26,105.0166,26608000
2019-03-05,112.25,112.39,111.23,111.7,104.4927,19538300
2019-03-06,111.87,112.66,111.43,111.75,104.5395,17687000
2019-03-07,111.4,111.55,109.87,110.39,103.2673,25339000
2019-03-08,109.16,110.71,108.8,110.51,103.3795,22818400
2019-03-11,110.99,112.95,110.98,112.83,105.5498,26491600
2019-03-12,112.82,113.99,112.65,113.62,106.2889,26132700
2019-03-13,114.13,115.0,113.78,114.5,107.1121,35513800
